100,1.3,1.36,1.43,1.49
200,1.27,1.33,1.39,1.44
300,1.25,1.3,1.37,1.42
400,1.24,1.29,1.35,1.4
500,1.23,1.28,1.33,1.38
650,1.22,1.27,1.31,1.36
800,1.21,1.26,1.3,1.35
1000,1.2,1.25,1.28,1.33
1200,1.2,1.24,1.27,1.31
1500,1.19,1.22,1.25,1.29
1800,1.18,1.2,1.23,1.27
2000,1.17,1.19,1.22,1.26
